Data,Descrição,Tipo,Categoria,Valor,Forma de Pagamento,Banco,Centro de Custo,Impostos,% Impostos,Observações
01/01/2024,Venda de calçados modelo D,Entrada,Vendas,14000,Transferência,Banco A,Vendas,1400,10%,Pagamento à vista
02/01/2024,Compra de matéria-prima,Saída,Custo Variável,-3700,Cartão de Crédito,Banco B,Compras,380,10%,Estoque inicial
05/01/2024,Pagamento fornecedor de material,Saída,Despesas Fixas,-1600,Boleto Bancário,Banco A,Compras,170,12%,Pagamento antecipado
10/01/2024,Marketing campanha de calçados,Saída,Despesas Variáveis,-800,Cartão de Crédito,Banco A,Marketing,85,11%,Campanha online
12/01/2024,Venda de calçados modelo E,Entrada,Vendas,14000,Pix,Banco A,Vendas,1420,10%,Pagamento à vista
15/01/2024,Pegamento aluguel do prédio,Saída,Despesas Fixas,-2100,Transferência,Banco A,Administrativa,220,10%,Aluguel mensal
18/01/2024,Compra de calçados modelo F,Saída,Custo Variável,-3500,Boleto Bancário,Banco B,Compras,360,12%,Compras do mês
22/01/2024,Venda de calçados modelo D,Entrada,Vendas,12500,Transferência,Banco A,Vendas,1300,10%,Pagamento à vista
25/01/2024,Recebimento de juros bancários,Entrada,Não Operacional,350,Pix,Banco A,Juros,35,10%,Juros sobre saldo bancário
28/01/2024,Despesas com funcionários,Saída,Despesas Fixas,-3100,Transferência,Banco A,Recursos Humanos,330,8%,Salários janeiro
01/02/2024,Venda de calçados modelo G,Entrada,Vendas,15500,Transferência,Banco A,Vendas,1550,10%,Pagamento à vista
03/02/2024,Compra de matéria-prima,Saída,Custo Variável,-3800,Cartão de Crédito,Banco B,Compras,390,12%,Estoque inicial
05/02/2024,Pagamento fornecedor de material,Saída,Despesas Fixas,-1700,Boleto Bancário,Banco A,Compras,180,11%,Pagamento antecipado
10/02/2024,Marketing campanha de calçados,Saída,Despesas Variáveis,-850,Cartão de Crédito,Banco A,Marketing,85,10%,Campanha online
12/02/2024,Venda de calçados modelo H,Entrada,Vendas,16000,Pix,Banco A,Vendas,1600,10%,Pagamento à vista
15/02/2024,Pegamento aluguel do prédio,Saída,Despesas Fixas,-2200,Transferência,Banco A,Administrativa,230,10%,Aluguel mensal
18/02/2024,Compra de calçados modelo I,Saída,Custo Variável,-3400,Boleto Bancário,Banco B,Compras,340,12%,Compras do mês
22/02/2024,Venda de calçados modelo G,Entrada,Vendas,14500,Transferência,Banco A,Vendas,1450,9%,Pagamento à vista
25/02/2024,Recebimento de juros bancários,Entrada,Não Operacional,300,Pix,Banco A,Juros,32,10%,Juros sobre saldo bancário
28/02/2024,Despesas com funcionários,Saída,Despesas Fixas,-3200,Transferência,Banco A,Recursos Humanos,340,8%,Salários fevereiro
01/03/2024,Venda de calçados modelo J,Entrada,Vendas,15000,Transferência,Banco A,Vendas,1500,10%,Pagamento à vista
03/03/2024,Compra de matéria-prima,Saída,Custo Variável,-3900,Cartão de Crédito,Banco B,Compras,400,9%,Estoque inicial
05/03/2024,Pagamento fornecedor de material,Saída,Despesas Fixas,-1800,Boleto Bancário,Banco A,Compras,190,10%,Pagamento antecipado
10/03/2024,Marketing campanha de calçados,Saída,Despesas Variáveis,-900,Cartão de Crédito,Banco A,Marketing,95,12%,Campanha online
12/03/2024,Venda de calçados modelo K,Entrada,Vendas,15500,Pix,Banco A,Vendas,1550,10%,Pagamento à vista
15/03/2024,Pegamento aluguel do prédio,Saída,Despesas Fixas,-2300,Transferência,Banco A,Administrativa,240,10%,Aluguel mensal
18/03/2024,Compra de calçados modelo L,Saída,Custo Variável,-3600,Boleto Bancário,Banco B,Compras,370,11%,Compras do mês
22/03/2024,Venda de calçados modelo J,Entrada,Vendas,15000,Transferência,Banco A,Vendas,1500,10%,Pagamento à vista
25/03/2024,Recebimento de juros bancários,Entrada,Não Operacional,280,Pix,Banco A,Juros,28,10%,Juros sobre saldo bancário
28/03/2024,Despesas com funcionários,Saída,Despesas Fixas,-3300,Transferência,Banco A,Recursos Humanos,340,10%,Salários março
01/04/2024,Venda de calçados modelo M,Entrada,Vendas,16000,Transferência,Banco A,Vendas,1600,10%,Pagamento à vista
03/04/2024,Compra de matéria-prima,Saída,Custo Variável,-4000,Cartão de Crédito,Banco B,Compras,420,11%,Estoque inicial
05/04/2024,Pagamento fornecedor de material,Saída,Despesas Fixas,-1900,Boleto Bancário,Banco A,Compras,200,12%,Pagamento antecipado
10/04/2024,Marketing campanha de calçados,Saída,Despesas Variáveis,-1000,Cartão de Crédito,Banco A,Marketing,105,10%,Campanha online
